file_id;id;class
1;1;2
1;2;2
1;3;2
1;4;3
1;5;7
1;6;30
1;7;30
1;8;30
1;9;30
1;10;30
1;11;30
1;12;30
1;13;30
1;14;30
1;15;30
1;16;30
1;17;30
1;18;30
1;19;30
1;20;30
1;21;30
1;22;30
1;23;30
1;24;30
1;25;30
1;26;30
1;27;30
1;28;30
1;29;30
1;30;30
1;31;30
1;32;30
1;33;30
1;34;22
1;35;31
1;36;24
1;37;32
1;38;27
1;39;24
1;40;24
1;41;24
1;42;36
1;43;24
1;44;24
1;45;25
1;46;24
1;47;24
1;48;27
1;49;36
1;50;19
1;51;36
1;52;36
1;53;11
1;54;11
1;55;11
1;56;11
1;57;19
1;58;19
1;59;15
1;60;19
1;61;20
1;62;21
1;63;21
1;64;21
1;65;21
1;66;14
1;67;29
1;68;28
1;69;37
1;70;38
1;71;38
1;72;38
1;73;38
2;1;2
2;2;27
2;3;2
2;4;2
2;5;7
2;6;4
2;7;3
2;8;19
2;9;19
2;10;19
2;11;19
2;12;20
2;13;21
2;14;21
2;15;21
2;16;15
2;17;18
2;18;11
2;19;11
2;20;11
2;21;11
2;22;11
2;23;4
2;24;24
2;25;24
2;26;22
2;27;35
2;28;24
2;29;24
2;30;31
2;31;24
2;32;36
2;33;27
2;34;27
2;35;29
2;36;37
2;37;38
2;38;38
2;39;38
2;40;36
2;41;38
3;1;2
3;2;2
3;3;2
3;4;2
3;5;27
3;6;2
3;7;2
3;8;2
3;9;7
3;10;27
3;11;27
3;12;27
3;13;27
3;14;27
3;15;27
3;16;27
3;17;3
3;18;8
3;19;8
3;20;2
3;21;35
3;22;8
3;23;11
3;24;2
3;25;16
3;26;7
3;27;10
3;28;10
3;29;27
3;30;10
3;31;10
3;32;10
3;33;10
3;34;10
3;35;10
3;36;10
3;37;10
3;38;10
3;39;10
3;40;15
3;41;15
3;42;15
3;43;15
3;44;15
3;45;7
3;46;15
3;47;15
3;48;15
3;49;10
3;50;7
3;51;15
3;52;13
3;53;19
3;54;19
3;55;11
3;56;19
3;57;19
3;58;19
3;59;19
3;60;19
3;61;38
3;62;16
3;63;15
3;64;15
3;65;35
3;66;35
3;67;15
3;68;15
3;69;15
3;70;20
3;71;17
3;72;15
3;73;15
3;74;15
3;75;15
3;76;15
3;77;15
3;78;15
3;79;15
3;80;15
3;81;16
3;82;16
3;83;16
3;84;16
3;85;16
3;86;16
3;87;16
3;88;16
3;89;16
3;90;16
3;91;11
3;92;11
3;93;11
3;94;11
3;95;11
3;96;1
3;97;11
3;98;11
3;99;11
3;100;17
3;101;17
3;102;17
3;103;21
3;104;21
3;105;24
3;106;24
3;107;32
3;108;24
3;109;24
3;110;31
3;111;36
3;112;24
3;113;38
3;114;24
3;115;28
3;116;29
3;117;24
3;118;24
3;119;24
3;120;24
3;121;2
3;122;24
3;123;17
3;124;24
3;125;19
3;126;21
3;127;27
3;128;22
3;129;22
3;130;22
3;131;22
3;132;7
3;133;35
3;134;21
3;135;15
3;136;21
3;137;21
3;138;28
3;139;19
3;140;29
3;141;28
3;142;29
3;143;5
3;144;29
3;145;37
3;146;38
3;147;38
3;148;38
3;149;38
3;150;38
3;151;36
3;152;36
3;153;36
3;154;36
3;155;19
3;156;27
3;157;36
3;158;35
3;159;38
3;160;38
3;161;38
3;162;2
3;163;12
3;164;12
4;1;2
4;2;2
4;3;2
4;4;27
4;5;2
4;6;27
4;7;2
4;8;27
4;9;27
4;10;30
4;11;30
4;12;24
4;13;24
4;14;24
4;15;35
4;16;3
4;17;2
4;18;2
4;19;7
4;20;30
4;21;30
4;22;35
4;23;30
4;24;24
4;25;2
4;26;2
4;27;1
4;28;2
4;29;30
4;30;27
4;31;24
4;32;24
4;33;22
4;34;24
4;35;32
4;36;22
4;37;38
4;38;38
4;39;38
4;40;24
4;41;26
4;42;4
4;43;24
4;44;27
4;45;27
4;46;36
4;47;24
4;48;24
4;49;25
4;50;22
4;51;24
4;52;24
4;53;36
4;54;36
4;55;24
4;56;7
4;57;11
4;58;11
4;59;11
4;60;11
4;61;11
4;62;11
4;63;11
4;64;11
4;65;24
4;66;19
4;67;19
4;68;19
4;69;19
4;70;19
4;71;11
4;72;19
4;73;11
4;74;11
4;75;19
4;76;38
4;77;18
4;78;20
4;79;21
4;80;27
4;81;27
4;82;27
4;83;27
4;84;27
4;85;27
4;86;27
4;87;22
4;88;27
4;89;27
4;90;27
4;91;27
4;92;27
4;93;27
4;94;27
4;95;25
4;96;22
4;97;29
4;98;36
4;99;36
4;100;35
4;101;36
4;102;36
4;103;36
4;104;36
4;105;36
4;106;36
4;107;37
4;108;27
4;109;38
4;110;38
4;111;38
4;112;38
4;113;38
5;1;2
5;2;2
5;3;1
5;4;4
5;5;4
5;6;4
5;7;4
5;8;35
5;9;4
5;10;3
5;11;3
5;12;4
5;13;4
5;14;3
5;15;23
5;16;19
5;17;19
5;18;19
5;19;19
5;20;19
5;21;19
5;22;35
5;23;35
5;24;2
5;25;2
5;26;24
5;27;24
5;28;24
5;29;24
5;30;24
5;31;36
5;32;36
5;33;35
5;34;35
5;35;36
5;36;24
5;37;31
5;38;38
5;39;38
5;40;19
5;41;24
5;42;24
5;43;38
5;44;24
5;45;25
5;46;24
5;47;18
5;48;11
5;49;11
5;50;11
5;51;11
5;52;11
5;53;11
5;54;11
5;55;19
5;56;19
5;57;19
5;58;19
5;59;13
5;60;21
5;61;21
5;62;21
5;63;21
5;64;20
5;65;19
5;66;19
5;67;19
5;68;19
5;69;19
5;70;19
5;71;22
5;72;22
5;73;22
5;74;22
5;75;20
5;76;21
5;77;21
5;78;21
5;79;21
5;80;29
5;81;28
5;82;37
5;83;38
5;84;38
5;85;38
5;86;27
5;87;27
5;88;27
5;89;38
5;90;38
5;91;38
5;92;38
5;93;38
5;94;7
6;1;2
6;2;11
6;3;2
6;4;4
6;5;11
6;6;2
6;7;2
6;8;3
6;9;7
6;10;24
6;11;22
6;12;22
6;13;22
6;14;30
6;15;35
6;16;35
6;17;24
6;18;24
6;19;27
6;20;38
6;21;24
6;22;32
6;23;33
6;24;25
6;25;27
6;26;19
6;27;22
6;28;22
6;29;25
6;30;19
6;31;19
6;32;22
6;33;24
6;34;21
6;35;21
6;36;21
6;37;21
6;38;21
6;39;11
6;40;11
6;41;11
6;42;11
6;43;11
6;44;11
6;45;11
6;46;19
6;47;19
6;48;19
6;49;19
6;50;19
6;51;19
6;52;19
6;53;27
6;54;27
6;55;11
6;56;11
6;57;27
6;58;27
6;59;29
6;60;28
6;61;19
6;62;37
6;63;38
6;64;38
6;65;38
6;66;38
6;67;36
6;68;36
6;69;36
6;70;35
7;1;2
7;2;1
7;3;2
7;4;27
7;5;7
7;6;3
7;7;5
7;8;6
7;9;27
7;10;11
7;11;11
7;12;11
7;13;11
7;14;11
7;15;11
7;16;22
7;17;10
7;18;10
7;19;10
7;20;10
7;21;10
7;22;10
7;23;10
7;24;10
7;25;10
7;26;10
7;27;10
7;28;10
7;29;10
7;30;17
7;31;17
7;32;21
7;33;17
7;34;17
7;35;19
7;36;19
7;37;36
7;38;19
7;39;10
7;40;19
7;41;32
7;42;19
7;43;13
7;44;38
7;45;15
7;46;15
7;47;21
7;48;15
7;49;35
7;50;35
7;51;7
7;52;15
7;53;7
7;54;10
7;55;15
7;56;24
7;57;24
7;58;24
7;59;23
7;60;24
7;61;27
7;62;35
7;63;37
7;64;38
7;65;38
7;66;38
8;1;2
8;2;2
8;3;2
8;4;1
8;5;1
8;6;1
8;7;1
8;8;1
8;9;2
8;10;18
8;11;11
8;12;11
8;13;11
